player,team,game_date,vs,series_game,pitch_mph,exit_velocity_mph,adjusted_exit_velocity,launch_angle,distance_feet,name,date,eutaw
"abreu, wilyer",bos,8/15/2024,bal,,76.2,106.3,106.3,25,412,wilyer abreu,8/15/2024,yes
"henderson, gunnar",bal,8/14/2024,wsh,,93,113.1,113.1,26,419,gunnar henderson,8/14/2024,yes
"holliday, jackson",bal,7/31/2024,tor,,85.4,109.2,109.2,32,439,jackson holliday,7/31/2024,yes
"santander, anthony",bal,7/14/2024,nyy,,89.1,102.5,102.5,35,421,anthony santander,7/14/2024,yes
"happ, ian",chc,7/9/2024,bal,,87.9,98.4,98.4,32,395,ian happ,7/9/2024,yes
"mullins, cedric",bal,6/26/2024,cle,,74.5,100.7,100.7,38,381,cedric mullins,6/26/2024,yes
"henderson, gunnar",bal,6/2/2024,tb,,86.1,109.1,109.1,24,420,gunnar henderson,6/2/2024,yes
"santander, anthony",bal,6/1/2024,tb,,90.4,102.2,102.2,31,401,anthony santander,6/1/2024,yes
"soto, juan",nyy,4/30/2024,bal,,93.3,112.6,112.6,31,447,juan soto,4/30/2024,yes
"santander, anthony",bal,8/24/2023,tor,,96.2,109.4,109.4,30,417,anthony santander,8/24/2023,yes
"raleigh, cal",sea,6/25/2023,bal,,88.5,113.7,113.7,25,422,cal raleigh,6/25/2023,yes
"henderson, gunnar",bal,6/11/2023,kc,,85.5,113.8,113.8,27,462,gunnar henderson,6/11/2023,yes
"rutschman, adley",bal,5/9/2023,tb,,88.7,111.1,111.1,27,407,adley rutschman,5/9/2023,yes
"devers, rafael",bos,4/24/2023,bal,,90.4,115,115,24,387,rafael devers,4/24/2023,yes
"santander, anthony",bal,9/5/2022,tor,,94.1,109.9,109.9,32,411,anthony santander,9/5/2022,yes
"santander, anthony",bal,9/5/2022,tor,,85.9,105.6,105.6,34,414,anthony santander,9/5/2022,yes
"brown, seth",oak,9/4/2022,bal,,88.9,104.8,104.8,36,397,seth brown,9/4/2022,yes
"brown, seth",oak,9/4/2022,bal,,76.6,103.8,103.8,35,393,seth brown,9/4/2022,yes
"giménez, andrés",cle,6/4/2022,bal,,95.3,109.3,109.3,34,418,andrés giménez,6/4/2022,yes
"odor, rougned",bal,6/4/2022,cle,,86,102.3,102.3,37,393,rougned odor,6/4/2022,yes
"santander, anthony",bal,8/24/2021,laa,,85.5,108.8,108.8,25,443,anthony santander,8/24/2021,yes
"santander, anthony",bal,8/11/2021,det,,92.1,109,109,32,413,anthony santander,8/11/2021,yes
"santander, anthony",bal,8/10/2021,det,,91.5,104,104,27,388,anthony santander,8/10/2021,yes
"santander, anthony",bal,8/10/2021,det,,83.7,108.3,108.3,27,414,anthony santander,8/10/2021,yes
"león, sandy",mia,7/27/2021,bal,,80,104.5,104.5,35,403,sandy león,7/27/2021,yes
"santander, anthony",bal,7/6/2021,tor,,95.4,108.6,108.6,31,431,anthony santander,7/6/2021,yes
"mullins, cedric",bal,4/26/2021,nyy,,94.6,106,106,25,418,cedric mullins,4/26/2021,yes
"mullins, cedric",bal,4/26/2021,nyy,,92.5,105.6,105.6,28,406,cedric mullins,4/26/2021,yes
"haggerty, sam",sea,4/13/2021,bal,,90.6,106,106,27,409,sam haggerty,4/13/2021,yes
"santander, anthony",bal,8/16/2020,wsh,,93.6,104.5,104.5,31,396,anthony santander,8/16/2020,yes
"santander, anthony",bal,8/16/2020,wsh,,86,108.7,108.7,31,409,anthony santander,8/16/2020,yes
"ruiz, rio",bal,8/11/2019,hou,,85.1,103.3,103.3,29,417,rio ruiz,8/11/2019,yes
"gregorius, didi",nyy,8/6/2019,bal,,91.6,104.4,104.4,32,401,didi gregorius,8/6/2019,yes
"santander, anthony",bal,7/20/2019,bos,,83.8,110.1,110.1,22,426,anthony santander,7/20/2019,yes
"adams, matt",wsh,7/16/2019,bal,,86.6,104,104,33,396,matt adams,7/16/2019,yes
"meadows, austin",tb,7/14/2019,bal,,84.3,105.4,105.4,33,405,austin meadows,7/14/2019,yes
"santander, anthony",bal,6/29/2019,cle,,92.9,105.6,105.6,33,410,anthony santander,6/29/2019,yes
"sisco, chance",bal,6/28/2019,cle,,98,103.4,103.4,32,411,chance sisco,6/28/2019,yes
"villar, jonathan",bal,9/16/2018,cws,,81.4,103.5,103.5,32,430,jonathan villar,9/16/2018,yes
"villar, jonathan",bal,8/15/2018,nym,,79.8,104.9,104.9,29,418,jonathan villar,8/15/2018,yes
"davis, chris",bal,6/27/2018,sea,,90.3,108.2,108.2,35,403,chris davis,6/27/2018,yes
"moustakas, mike",kc,5/8/2018,bal,,91.1,101.9,101.9,34,389,mike moustakas,5/8/2018,yes
"moustakas, mike",kc,5/8/2018,bal,,89.4,106.9,106.9,29,410,mike moustakas,5/8/2018,yes
"alonso, yonder",cle,4/21/2018,bal,,87.9,112.3,112.3,28,414,yonder alonso,4/21/2018,yes
"gonzalez, marwin",hou,7/22/2017,bal,,81.5,100.1,100.1,32,387,marwin gonzalez,7/22/2017,yes
"heyward, jason",chc,7/14/2017,bal,,94.7,104.4,104.4,26,395,jason heyward,7/14/2017,yes
"morrison, logan",tb,7/1/2017,bal,,93.8,108.6,108.6,31,422,logan morrison,7/1/2017,yes
"morrison, logan",tb,7/1/2017,bal,,84.5,108.2,108.2,20,435,logan morrison,7/1/2017,yes
"kipnis, jason",cle,6/19/2017,bal,,89.4,106.5,106.5,33,401,jason kipnis,6/19/2017,yes
"alvarez, pedro",bal,9/2/2016,nyy,,92.7,112.6,112.6,25,424,pedro alvarez,9/2/2016,yes
"davis, chris",bal,8/18/2016,hou,,85.9,110.1,110.1,31,428,chris davis,8/18/2016,yes
"davis, chris",bal,8/18/2016,hou,,83.2,109.7,109.7,36,444,chris davis,8/18/2016,yes
"davis, chris",bal,8/17/2016,bos,,83.8,109.4,109.4,30,391,chris davis,8/17/2016,yes
"wieters, matt",bal,6/25/2016,tb,,93.7,98.5,98.5,29,384,matt wieters,6/25/2016,yes
"wieters, matt",bal,6/25/2016,tb,,82.9,103.6,103.6,35,414,matt wieters,6/25/2016,yes
"flaherty, ryan",bal,6/7/2016,kc,,96.7,107.3,107.3,31,446,ryan flaherty,6/7/2016,yes
"alvarez, pedro",bal,5/8/2016,oak,,92.1,108.3,108.3,29,418,pedro alvarez,5/8/2016,yes
"davis, chris",bal,8/14/2015,oak,,86.6,110.3,110.3,32,438,chris davis,8/14/2015,yes
"davis, chris",bal,6/16/2015,phi,,93.3,106.6,106.6,40,408,chris davis,6/16/2015,yes
"davis, chris",bal,4/29/2015,cws,,84.8,108.5,108.5,33,388,chris davis,4/29/2015,yes
